City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
636,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,71.22,68,0,13.42,clear sky
637,Yevsino,RU,54.4172,83.3222,-0.2,98,99,4.47,overcast clouds
638,Kangaatsiaq,GL,68.3065,-53.4641,11.66,89,100,5.44,light snow
639,Koson,UZ,39.0375,65.585,32.32,69,77,4.92,broken clouds
640,Okakarara,NA,-20.5833,17.4333,70.61,64,95,1.36,overcast clouds
641,Murygino,RU,58.7383,49.4582,9.16,96,100,7.83,overcast clouds
642,Voznesenye,RU,61.0106,35.4781,27.46,97,100,3.85,light snow
643,Ilula,TZ,-7.6766,36.0366,60.17,97,85,3.67,overcast clouds
644,Altay,CN,47.8667,88.1167,7.56,85,93,5.1,overcast clouds
645,Akureyri,IS,65.6835,-18.0878,10.33,92,100,5.75,overcast clouds
646,Brae,GB,60.3964,-1.353,35.74,94,100,29.64,moderate rain
647,Puerto Gaitan,CO,4.3133,-72.0816,84.67,41,52,7.72,broken clouds
648,Vagur,FO,61.4732,-6.8119,32.22,74,100,26.55,overcast clouds
649,Shubarkuduk,KZ,49.1447,56.4872,25.41,97,99,10.42,light snow
650,Pontal Do Parana,BR,-25.6533,-48.5128,70.86,80,23,6.49,few clouds
651,Mindelo,CV,16.8901,-24.9804,71.15,60,0,9.22,clear sky
652,Vestmanna,FO,62.1564,-7.1664,27.52,69,75,21.85,light snow
653,Adjumani,UG,3.3779,31.7909,74.16,45,87,2.77,overcast clouds
654,Puerto Baquerizo Moreno,EC,-0.9,-89.6,73.04,86,45,8.12,scattered clouds
655,Yamandu,SL,7.9362,-11.4928,71.2,63,88,1.74,overcast clouds
656,Salinopolis,BR,-0.6136,-47.3561,78.42,81,100,8.9,overcast clouds
657,Yantzaza,EC,-3.8278,-78.7594,69.46,96,76,0.43,light rain
658,Mahajanga,MG,-15.7167,46.3167,77.02,94,20,2.3,moderate rain
659,Viedma,AR,-40.8135,-62.9967,69.15,35,37,10.16,scattered clouds
660,Monte Patria,CL,-30.6919,-70.9467,70.83,53,2,5.82,clear sky
661,Sadovo,BG,42.1333,24.9333,32.32,100,40,3.44,mist
662,Stolin,BY,51.8912,26.846,34.45,95,10,6.67,clear sky
663,Dori,BF,14.0354,-0.0345,68.32,17,2,9.17,clear sky
664,Alexandria,EG,31.2156,29.9553,57.74,67,0,8.19,clear sky
665,Abha,SA,18.2164,42.5053,43.05,70,22,4.61,few clouds
666,Storslett,NO,69.7678,21.0247,28.4,69,81,20.71,broken clouds
667,Karpathos,GR,35.507,27.2132,57.16,82,15,0.0,few clouds
668,Lokosovo,RU,61.1333,74.8167,-19.79,100,91,3.65,overcast clouds
669,Siilinjarvi,FI,63.0833,27.6667,33.82,93,100,10.36,overcast clouds
670,Ankazoabo,MG,-22.2833,44.5167,73.13,83,73,6.08,broken clouds
671,The Valley,AI,18.217,-63.0578,78.82,78,20,11.5,few clouds
672,Castro-Urdiales,ES,43.3829,-3.2204,66.51,57,100,14.67,overcast clouds
673,Korla,CN,41.7597,86.1469,20.62,55,96,4.61,overcast clouds
674,Kosino,RU,58.4127,51.2782,2.57,100,98,7.0,overcast clouds
675,Teguise,ES,29.0605,-13.564,61.02,72,0,1.14,clear sky
