City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
249,Kalmunai,LK,75.67,overcast clouds,7.4167,81.8167,Saji new food
250,Olinda,BR,82.13,light rain,-8.0089,-34.8553,Fidji Motel
251,Sao Jose Da Coroa Grande,BR,78.13,broken clouds,-8.8978,-35.1478,Hotel do Sol
252,Meulaboh,ID,75.07,overcast clouds,4.1363,96.1285,Hotel Meuligou
256,Praia,CV,70.34,few clouds,14.9215,-23.5087,Casa Sodadi
262,Soyo,AO,78.33,overcast clouds,-6.1349,12.3689,Hotel Maria Teres
264,Morondava,MG,79.74,light rain,-20.2833,44.2833,Hotel Sharon Menabe
265,Kolda,SN,76.62,overcast clouds,12.8833,-14.95,le firdou
273,Santa Cruz,BO,87.85,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
274,Mana,GF,76.89,overcast clouds,5.6592,-53.7767,Le Samana
275,Sao Filipe,CV,72.19,clear sky,14.8961,-24.4956,Bela Vista
276,Hualmay,PE,70.48,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
281,Itarema,BR,79.83,few clouds,-2.9248,-39.9167,Pousada Oásis
284,Adeje,ES,71.56,few clouds,28.1227,-16.726,Royal Garden Villas
285,Lima,PE,76.89,clear sky,-12.0432,-77.0282,Hotel Peach Garden
286,Diofior,SN,75.43,overcast clouds,14.1833,-16.6667,Souimanga Lodge
290,General Roca,AR,86.63,broken clouds,-39.0333,-67.5833,Hotel Austral
293,Bertoua,CM,70.54,scattered clouds,4.5833,13.6833,Hotel Sun City
300,Kang,BW,71.35,light rain,-23.6752,22.7876,Nkisi Guest House
301,Talara,PE,74.16,broken clouds,-4.5772,-81.2719,Hospedaje El Aypate
302,Cape Canaveral,US,74.03,clear sky,28.4058,-80.6048,Holiday Inn Club Vacations Cape Canaveral Beach Resort
305,Salta,AR,81.19,broken clouds,-24.7859,-65.4117,Ayres de Salta Hotel
319,Mercedes,AR,87.94,clear sky,-34.6515,-59.4307,Gran Hotel Mercedes
323,Namibe,AO,74.66,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
324,Natal,BR,79.45,scattered clouds,-5.795,-35.2094,Natal Palace Hotel
327,Mananara,MG,73.96,broken clouds,-16.1667,49.7667,Chez Roger
331,Capela,BR,71.83,clear sky,-10.5033,-37.0528,Pousada Coco Verde III
333,Quelimane,MZ,74.57,clear sky,-17.8786,36.8883,Mabassa
